cut,W,Z,top,ttV,single top,total background,signal,significance
-2000,3545.202367424965,3460.2908137589693,11350.651083827019,1346.3572970647365,3140.816728413105,22843.317774295807,306.53638254106045,-0.010624920133917705
-1900,3539.7607865333557,3457.0546099096537,11349.48313009739,1343.8517580050975,3139.2131285071373,22829.362895965576,306.53638254106045,-0.010570656496294845
-1800,3536.234412074089,3450.9326886087656,11345.97719669342,1344.479738773778,3133.6040080189705,22811.227526664734,306.2581938058138,-0.010580792331414507
-1700,3532.8275520801544,3448.0889290571213,11341.303438663483,1343.546576084569,3133.6040080189705,22799.36998653412,305.84091071784496,-0.010655795561525126
-1600,3522.5859248638153,3439.5182526111603,11333.121772885323,1339.9921019989997,3127.1905609965324,22762.408095359802,305.1454388946295,-0.010714016028175585
-1500,3523.3286559581757,3427.705733537674,11326.108664155006,1339.0514279603958,3120.780717551708,22736.974680900574,304.8672501593828,-0.010695833920688335
-1400,3497.16926074028,3418.1157717704773,11310.907683372498,1327.1209930181503,3115.1672739982605,22668.480464935303,304.16518473625183,-0.010632901178932414
-1300,3486.288966655731,3408.8622174263,11295.717958450317,1318.1982399225235,3106.3532161712646,22615.420078277588,303.1708301156759,-0.010715789631713499
-1200,3459.710506439209,3387.289878845215,11278.190580368042,1309.6089918613434,3083.9140496253967,22518.713485717773,302.5900367796421,-0.010505736829748685
-1100,3451.4541115760803,3352.7487173080444,11248.971683502197,1296.61181473732,3065.6942267417908,22415.48003387451,301.7326281070709,-0.010349646721974706
-1000,3409.8124141693115,3299.326286315918,11195.20560836792,1284.030954360962,3044.0480937957764,22232.422843933105,297.318616271019,-0.010931126821366188
-900,3380.2129554748535,3257.6870727539062,11129.766635894775,1273.8186900615692,3014.393271446228,22055.878120422363,294.3603994846344,-0.011111147358821528
-800,3298.224073410034,3157.9908237457275,11014.066535949707,1249.449470281601,2967.109272003174,21686.83966064453,286.2450454235077,-0.012086772083234788
-700,3228.5086460113525,3092.6556243896484,10900.69709777832,1223.7777392864227,2927.037302017212,21372.675888061523,278.8624641895294,-0.013090792787930131
-600,3082.749963760376,2950.9000244140625,10623.717781066895,1156.6589105129242,2828.4578037261963,20642.483963012695,262.7105612754822,-0.015219587188629143
-500,2994.9017124176025,2808.522937774658,10345.548698425293,1109.3879792690277,2745.691209793091,20004.052047729492,250.71938610076904,-0.016502726170807513
-400,2757.687936782837,2548.475070953369,9776.364616394043,995.7007577419281,2543.1728839874268,18621.400833129883,225.24419689178467,-0.01940772197870329
-300,2458.2896518707275,2334.7869758605957,9206.024803161621,904.070600271225,2368.1359729766846,17271.307510375977,202.98276710510254,-0.021690563166956823
-200,2044.6727695465088,1905.2204627990723,7890.077354431152,747.3296296596527,2034.390001296997,14621.689651489258,166.25658321380615,-0.024240326086607946
-100,1739.6569156646729,1629.9549751281738,6941.064384460449,639.3253724575043,1772.5642108917236,12722.565444946289,136.12886142730713,-0.02870255303561145
0,1488.3495597839355,1411.0584964752197,6038.836463928223,546.7149066925049,1534.9962005615234,11019.955261230469,117.0197856426239,-0.029257782282482634
100,1387.0047760009766,1282.6050720214844,5523.418273925781,475.92858123779297,1402.7027435302734,10071.659057617188,104.81217384338379,-0.030677610268601583
