cut,W,Z,top,ttV,single top,total background,signal,significance
0,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,223.6079492419958,-0.03488033814590501
100,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,223.6079492419958,-0.03488033814590501
200,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,223.6079492419958,-0.03488033814590501
300,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,223.6079492419958,-0.03488033814590501
400,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,223.6079492419958,-0.03488033814590501
500,3561.43866366148,3478.299379348755,11356.502927422523,1355.610319036059,3155.616611599922,22907.467762231827,223.6079492419958,-0.03487477200658268
600,3553.363848865032,3451.1022398471832,11341.308237195015,1353.3679981706664,3151.610402703285,22850.752586603165,223.6079492419958,-0.03471411165339139
700,3535.6822144389153,3371.2128450870514,11248.982984662056,1332.6481428621337,3125.9631468057632,22614.489189386368,222.91273947060108,-0.034240241543938045
800,3445.6098172068596,3241.1630671024323,11060.82056248188,1291.8216352937743,3058.266209244728,22097.681144952774,221.5223197489977,-0.03312934840102738
900,3283.8464581370354,3079.1507074832916,10576.965459942818,1203.3664427278563,2947.8896909952164,21091.218590021133,216.2387251406908,-0.031620536416867843
1000,3043.1184155344963,2813.844089746475,9744.814092755318,1089.6477995393798,2785.2394148111343,19476.66365838051,201.9174122363329,-0.030866196157297413
1100,2717.802650153637,2576.8358805179596,8594.818304181099,897.4144850252196,2552.060139298439,17338.93123650551,179.22235913574696,-0.031079718518401165
1200,2384.0488964915276,2224.709553003311,7228.568853497505,727.8223753450438,2270.0266157388687,14835.176231622696,151.43600030243397,-0.03194684912920756
1300,2068.0923382639885,1875.1109354496002,5937.115606427193,557.1169538972899,1963.9532514810562,12401.389000177383,123.53945298492908,-0.033599000740057075
1400,1798.5987469553947,1581.501987695694,4843.169866681099,433.7555761812255,1659.9807173013687,10317.006798028946,95.79729790985584,-0.03810763578372972
1500,1500.1089093089104,1304.132145166397,3929.2624875307083,333.15743546467274,1374.2401777505875,8440.901085138321,73.44012017548084,-0.042014926796603715
1600,1237.7513653635979,1097.9683573246002,3169.576391339302,263.71958069782704,1142.67438185215,6911.690147638321,55.05803723633289,-0.046918258653747276
1700,1090.5978695750237,911.9520990848541,2547.7877255678177,217.11142258625478,987.0218549966812,5754.471031427383,41.9878239184618,-0.051389105517147926
1800,885.7036435008049,750.6238749027252,2061.585683941841,159.628443765454,792.1454893350601,4649.687156915665,27.91886754333973,-0.05999550182496323
1900,737.3173596262932,610.1347391605377,1681.7242642641068,121.56181626301259,660.9216085672379,3811.6598131656647,19.97368521988392,-0.06510026122924105
2000,638.4027783274651,487.0065996646881,1373.1921445131302,106.63832651358098,520.770386338234,3126.010215997696,15.595960453152657,-0.06680638287079912
2100,549.2036892771721,402.3897249698639,1127.7570630311966,71.83201395254582,440.5058561563492,2591.6883471012115,9.87205322086811,-0.074656628540526
2200,433.2416378855705,345.17192482948303,910.3748914003372,40.09317384939641,340.74712812900543,2069.6287462711334,7.843793049454689,-0.07483857335105529
2300,353.1053082346916,290.3141596317291,746.7556210756302,30.003396856598556,285.6514860391617,1705.8299639225006,5.013203516602516,-0.08050353934119721
2400,272.94696778059006,235.8927938938141,613.5253087282181,31.56477020960301,233.98534643650055,1387.9151842594147,3.6490960270166397,-0.08259857618566852
2500,208.729573905468,197.90831303596497,500.1569768190384,28.144029724411666,199.74155390262604,1134.6804430484772,2.4736420959234238,-0.08560606975764894
2600,180.75355690717697,156.20705914497375,424.19302570819855,21.50490866880864,149.08774721622467,931.7462999820709,2.1839254051446915,-0.0846039436261658
2700,139.5957219004631,129.50395607948303,335.3870145082474,16.1406217366457,113.81942141056061,734.4467394351959,1.8967569470405579,-0.08316523488505398
2800,103.50804299116135,110.33409523963928,261.75446903705597,14.461495280265808,93.78591120243073,583.8440172672272,1.4445677399635315,-0.08400845934023371
2900,83.87940663099289,87.998211145401,222.02284824848175,5.849321484565735,84.52296298742294,484.27275109291077,0.8668072521686554,-0.08852603602367899
3000,74.51619094610214,73.82223391532898,181.1269942522049,3.8474514484405518,73.3025090098381,406.61538338661194,0.45407114923000336,-0.09292564699319943
3100,66.28145760297775,62.30907940864563,144.9011069536209,4.6414995193481445,62.084629237651825,340.21777749061584,0.13936667144298553,-0.09749186298013802
3200,39.13651245832443,52.966991901397705,119.19769966602325,2.1977345943450928,55.67556518316269,269.17450737953186,0.13936667144298553,-0.09696439813971724
3300,32.83418935537338,45.38438177108765,105.1784816980362,0.4543803334236145,45.257748782634735,229.1091845035553,0.13936667144298553,-0.0965507908918089
3400,25.399010360240936,41.30029225349426,85.3052316904068,1.5796639919281006,39.64675587415695,193.23095726966858,0.13936667144298553,-0.09606814695107019
3500,21.606572449207306,30.61913537979126,74.78952634334564,5.012340307235718,29.442059695720673,161.46963620185852,0.13936667144298553,-0.09551019020853041
3600,16.159384548664093,27.38128697872162,59.597636103630066,3.813189744949341,25.43364518880844,132.38514256477356,0.13936667144298553,-0.09484027435277281
3700,13.320831537246704,22.650725483894348,53.75337779521942,2.7561780214309692,16.028677344322205,108.50978970527649,0.0,-0.10136042785466053
3800,10.369515895843506,21.23177480697632,44.404667019844055,3.282277762889862,12.023311257362366,91.31154656410217,0.0,-0.10185770037838798
3900,9.15302062034607,16.502434730529785,36.22520864009857,1.9165379405021667,11.220906257629395,75.01810765266418,0.0,-0.10260604505907651
4000,8.481947183609009,12.38761430978775,30.38442838191986,1.9165379405021667,8.015682935714722,61.1862108707428,0.0,-0.10364147877230388
4100,6.930868983268738,10.374331772327423,26.878528237342834,0.5898579955101013,6.412885248661041,51.186471700668335,0.0,-0.1048187565950007
4200,6.930868983268738,10.374331772327423,23.37276780605316,0.0,3.2069721817970276,43.88494038581848,0.0,-0.1060794161094693
4300,6.930868983268738,8.047808706760406,21.034367442131042,0.0,2.4060097336769104,38.41905462741852,0.0,-0.10738215025651354
4400,5.800386667251587,6.162151873111725,16.36005973815918,0.0,2.4060097336769104,30.728607773780823,0.0,-0.1100888363581032
4500,4.851227283477783,7.171315848827362,11.68764591217041,0.0,1.6042450070381165,25.314434051513672,0.0,-0.1130520537875293
4600,2.036405324935913,5.6113850474357605,11.68764591217041,0.0,1.6042450070381165,20.9396812915802,0.0,-0.11659695143992477
4700,2.036405324935913,0.7894883751869202,8.177096247673035,0.0,0.8019331693649292,11.804923057556152,0.0,-0.13209479679887567
4800,2.036405324935913,0.7894883751869202,8.177096247673035,0.0,0.8019331693649292,11.804923057556152,0.0,-0.13209479679887567
4900,0.0,0.7894883751869202,7.008264064788818,0.0,0.0,7.797752380371094,0.0,-0.14892508737799046
5000,0.0,0.7894883751869202,5.839974880218506,0.0,0.0,6.629463195800781,0.0,-0.1570685928542082
