cut,W,Z,top,ttV,single top,total background,signal,significance
0,3561.4390845894814,3478.2995555996895,11357.659227132797,1355.610239803791,3156.41849899292,22909.42664027214,11.303830683231354,-0.09658300047432082
1,3561.4390845894814,3478.2995555996895,11357.659227132797,1355.610239803791,3156.41849899292,22909.42664027214,11.303830683231354,-0.09658300047432082
2,3561.4390845894814,3478.2995555996895,11357.659227132797,1355.610239803791,3156.41849899292,22909.42664027214,11.303830683231354,-0.09658300047432082
3,3561.4390845894814,3478.2995555996895,11357.659227132797,1355.610239803791,3156.41849899292,22909.42664027214,11.303830683231354,-0.09658300047432082
4,3561.4390845894814,3478.2995555996895,11357.659227132797,1355.610239803791,3156.41849899292,22909.42664027214,11.303830683231354,-0.09658300047432082
5,3308.2057166695595,3077.972040951252,10534.856858968735,1298.318808376789,3019.0236167907715,21238.377079725266,10.979101210832596,-0.0964261048437478
6,2501.6016517281532,2297.878535091877,8730.388231039047,1035.1238620877266,2600.0288047790527,17165.02136683464,10.22444835305214,-0.09590149684553209
7,1528.6189857125282,1435.7503002285957,6364.889940023422,696.8753879666328,1925.9129600524902,11952.04773402214,7.335854679346085,-0.09578293448327986
8,822.1038489937782,792.5487621426582,4032.1179673671722,372.4438388943672,1245.8817710876465,7265.0960738658905,4.774845749139786,-0.09549850369698532
9,438.02685314416885,338.6455028653145,2309.3705308437347,171.20680886507034,691.4159507751465,3948.6656539440155,2.8088320791721344,-0.0951510984963475
10,195.2297187447548,154.16761285066605,1166.3896958827972,71.53406411409378,349.01150131225586,1936.3326461315155,1.5901167690753937,-0.09445704161786604
11,107.93053966760635,66.66888695955276,524.7534654140472,27.412104427814484,137.63244247436523,864.397465467453,0.6844452917575836,-0.09474756518663
12,48.18029934167862,20.487681210041046,212.70414900779724,9.548201382160187,56.1010856628418,347.02142786979675,0.3823317885398865,-0.09312608141647524
13,16.040471613407135,6.923313915729523,89.99218916893005,4.502183735370636,22.440494537353516,139.89865565299988,0.19281448423862457,-0.09280679064412056
14,2.7448211312294006,0.6520207524299622,32.725133657455444,0.9526248574256897,7.212275505065918,44.286877393722534,0.04638992249965668,-0.10104231445774749
15,0.49769431352615356,0.6520207524299622,9.349508047103882,0.0,2.405060291290283,12.904284238815308,0.0,-0.12914848314273947
16,0.0,0.0,2.338087797164917,0.0,0.0,2.338087797164917,0.0,-0.2363804576200481
