cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
600,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
700,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
800,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.12341144308447838,-0.09346744098455152
900,0.5019254088401794,1.8158115148544312,2.3357903957366943,4.578305929899216,8.817758083343506,18.049591571092606,0.0895720049738884,-0.1019603562642331
1000,0.0,0.0,1.168150782585144,2.747853070497513,6.411714315414429,10.327718287706375,0.05172850750386715,-0.12225055808489882
1100,0.0,0.0,0.0,1.536916345357895,4.809861779212952,6.346778124570847,0.0,-0.15941924295940474
1200,0.0,0.0,0.0,1.0474315881729126,4.0082467794418335,5.055678367614746,0.0,-0.17289574802170216
1300,0.0,0.0,0.0,1.0474315881729126,2.40544193983078,3.4528735280036926,0.0,-0.2005257810463934
1400,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.0,-0.27973898932299474
1500,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.0,-0.27973898932299474
