cut,W,Z,top,ttV,single top,total background,signal,significance
0,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
100,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
200,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
300,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
400,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
500,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
600,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
700,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
800,1.6506800055503845,1.8158115148544312,2.3357903957366943,4.377436846494675,14.426626682281494,24.606345683336258,0.09895015880465508,-0.09744224433967426
900,0.5019254088401794,1.8158115148544312,2.3357903957366943,4.578305929899216,8.817758083343506,18.049591571092606,0.09895015880465508,-0.10008701650742452
1000,0.0,0.0,1.168150782585144,2.747853070497513,6.411714315414429,10.327718287706375,0.09895015880465508,-0.10886676899525367
1100,0.0,0.0,0.0,1.536916345357895,4.809861779212952,6.346778124570847,0.047921668738126755,-0.14125057925427398
1200,0.0,0.0,0.0,1.0474315881729126,4.0082467794418335,5.055678367614746,0.047921668738126755,-0.1521680447090354
1300,0.0,0.0,0.0,1.0474315881729126,2.40544193983078,3.4528735280036926,0.047921668738126755,-0.1747243687530878
1400,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.0,-0.27973898932299474
1500,0.0,0.0,0.0,0.0,1.6036166548728943,1.6036166548728943,0.0,-0.27973898932299474
